Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Mặt tiền,Đường vào,Số tầng,Nội thất,Hướng nhà,Hướng ban công
"79,4 m²","14,8 tỷ",,,Sổ đỏ,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tam Trinh,"Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội",06/05/2024,"4,2 m",6 m,6 tầng,,,
80 m²,"2,9 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Đường 5, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,,,,Đầy đủ,,
60 m²,"2,1 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Đường 5, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,,,,,,
68 m²,"2,3 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,,,,Đầy đủ,,
82 m²,"3,05 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Khu đô thị mới Linh Đàm,"Dự án KĐT Linh Đàm, Phường Đại Kim, Hoàng Mai, Hà Nội",04/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
"52,6 m²","8,45 tỷ",,,Sổ đỏ,Hà Nội,Tây Hồ,Nhà riêng tại đường An Dương Vương,"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",02/05/2024,"3,9 m",5 m,4 tầng,,,
89 m²,35 triệu/m²,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư CT4 Yên Nghĩa,"Dự án Chung cư CT4 Yên Nghĩa, Quận Hà Đông, Hà Nội",05/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
160 m²,38 tỷ,,,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Võ Chí Công,"Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",07/05/2024,,,4 tầng,Cơ bản,,
"98,4 m²","14,4 tỷ",,,,Hà Nội,Hoàng Mai,Nhà mặt phố tại Khu chức năng đô thị Ao Sào,"Dự án Ao Sào, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",03/05/2024,"9,6 m",12 m,5 tầng,,,
117 m²,"12,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Sun Grand City Ancora Residence,"Sun Grand City Ancora Residence, số 3, Đường Lương Yên, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",03/05/2024,,,,Đầy đủ,Tây - Nam,Đông - Bắc
135 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Iris Garden,"Dự án Iris Garden, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội",07/05/2024,,,,,,
38 m²,"5,65 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Hào Nam,"Phố Hào Nam, Phường Cát Linh, Đống Đa, Hà Nội",07/05/2024,,,4 tầng,,,
"94,8 m²","9,6 tỷ",,,,Hà Nội,Hoàng Mai,Nhà mặt phố tại phố Sở Thượng,"Phố Sở Thượng, Phường Yên Sở, Hoàng Mai, Hà Nội",05/05/2024,"4,2 m",7 m,2 tầng,,Đông,
110 m²,"6,4 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Hoàng Thành Pearl,"Dự án Hoàng Thành Pearl, Đường Nguyễn Văn Giáp, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",03/05/2024,,,,Cơ bản.,Đông - Bắc,Tây - Nam
30 m²,"6,95 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Trì,Nhà riêng tại đường Kim Giang,"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",07/05/2024,,,6 tầng,Cơ bản,,
43 m²,"13,8 tỷ",5 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Võng Thị,"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",07/05/2024,,,5 tầng,,,
62 m²,"8,3 tỷ",6 phòng,6 phòng,,Hà Nội,Đống Đa,Nhà riêng tại phố Khâm Thiên,"Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội",07/05/2024,"3,5 m",3 m,5 tầng,,,
45 m²,"16,5 tỷ",,,Sổ đỏ,Hà Nội,Ba Đình,Nhà riêng tại đường Điện Biên Phủ,"Đường Điện Biên Phủ, Phường Điện Biên, Ba Đình, Hà Nội",04/05/2024,6 m,5 m,6 tầng,Nội thất nhập ngoại xịn xò.,,
"69,5 m²","16,95 tỷ",,,Sổ đỏ/sổ hồng.,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Nguyễn Ngọc Nại,"Đường Nguyễn Ngọc Nại, Phường Khương Mai, Thanh Xuân, Hà Nội",29/04/2024,"3,7 m",,4 tầng,Full nội thất.,,
45 m²,17 tỷ,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà mặt phố tại đường Trường Chinh,"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",29/04/2024,"4,8 m",60 m,5 tầng,Đầy đủ,,
55 m²,"2,28 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Căn hộ chung cư tại Xuân Mai Complex,"Dự án Xuân Mai Complex, Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",07/05/2024,,,,Cơ bản,Tây - Nam,Đông - Bắc
"71,6 m²","12,8 tỷ",,,Sổ đỏ.,Hà Nội,Hoàng Mai,Nhà mặt phố tại Khu chức năng đô thị Ao Sào,"Dự án Ao Sào, Đường Bờ Sông Sét, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",07/05/2024,9 m,12 m,5 tầng,,,
58 m²,15 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Trần Duy Hưng,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",29/04/2024,"4,2 m",4 m,5 tầng,Đầy đủ,,
122 m²,"5,5 tỷ",4 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Gardenia,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ,,
80 m²,"3,25 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Căn hộ chung cư tại Xuân Mai Complex,"Dự án Xuân Mai Complex, Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",07/05/2024,,,,,Đông - Bắc,Tây - Nam
42 m²,"7,98 tỷ",4 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại đường Đàm Quang Trung,"Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội",07/05/2024,5 m,3 m,6 tầng,Cơ bản,,
65 m²,26 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại phố Lạc Trung,"Phố Lạc Trung, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",07/05/2024,4 m,,2 tầng,,,
62 m²,"3,86 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Green Stars,"Dự án Green Stars, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ,Đông - Nam,Tây - Nam
62 m²,"2,62 tỷ",2 phòng,,,Hà Nội,Hà Đông,Căn hộ chung cư tại Xuân Mai Complex,"Dự án Xuân Mai Complex, Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",07/05/2024,,,,Nội thất để lại cơ bản.,Đông - Bắc,Tây - Nam
41 m²,"4,15 tỷ",5 phòng,,Sổ đỏ,Hà Nội,Hoài Đức,Nhà riêng tại đường 422B,"Đường 422B, Xã Di Trạch, Hoài Đức, Hà Nội",07/05/2024,,"2,5 m",5 tầng,,,
29 m²,"1,25 tỷ",1 phòng,1 phòng,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Green Bay Mễ Trì,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",04/05/2024,,,,Nội thất full.,Tây - Bắc,Đông - Nam
55 m²,"7,3 tỷ",6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Vĩnh Tuy,"Đường Vĩnh Tuy, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",07/05/2024,,,5 tầng,Đầy đủ,,
55 m²,"2,3 tỷ",2 phòng,1 phòng,,Hà Nội,Hà Đông,Căn hộ chung cư tại Xuân Mai Complex,"Dự án Xuân Mai Complex, Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",07/05/2024,,,,,Đông - Bắc,Tây - Nam
47 m²,"9,9 tỷ",6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Hoàng Quốc Việt,"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",07/05/2024,"5,3 m",,5 tầng,Đầy đủ,,
47 m²,"9,9 tỷ",6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Hoàng Quốc Việt,"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",07/05/2024,"5,3 m",,5 tầng,Đầy đủ,,
90 m²,"4,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại An Bình City,"Dự án An Bình City, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ,,
35 m²,"4,2 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại Tòa nhà 101 Láng Hạ,"Dự án 101 Láng Hạ, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",01/05/2024,"3,1 m",,5 tầng,Đầy đủ,,
113 m²,"14,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Căn hộ chung cư tại KĐT Tây Hồ Tây - Starlake Hà Nội,"Dự án KĐT Tây Hồ Tây - Starlake Hà Nội, Phường Xuân La, Tây Hồ, Hà Nội",07/05/2024,,,,Đầy đủ,,
80 m²,"16,5 tỷ",18 phòng,19 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà riêng tại phường Đức Thắng,"Phường Đức Thắng, Bắc Từ Liêm, Hà Nội",07/05/2024,"5,6 m",,8 tầng,Cơ bản,,
89 m²,"3,05 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư Hemisco Xa La,"Dự án Hemisco Xa La, Đường Xa La, Phường Phúc La, Hà Đông, Hà Nội",07/05/2024,,,,Đầy đủ,Đông - Bắc,Tây - Nam
85 m²,20 tỷ,6 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại phố Quan Nhân,"Phố Quan Nhân, Phường Trung Hòa, Cầu Giấy, Hà Nội",23/04/2024,"4,5 m",,5 tầng,Đầy đủ,,
32 m²,"3,3 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại phường Dương Nội,"Phường Dương Nội, Hà Đông, Hà Nội",06/05/2024,"3,4 m",,5 tầng,Cơ bản,,
96 m²,"6,7 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Bamboo Airways Tower,"Bamboo Airways Tower, 265, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",06/05/2024,,,,Đầy đủ,,
90 m²,"6,2 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Zei Mỹ Đình,"Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",03/05/2024,,,,Cơ bản,,
83 m²,"5,9 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Căn hộ chung cư tại 6th Element,"Dự án 6th Element, Phường Xuân La, Tây Hồ, Hà Nội",06/05/2024,,,,Đầy đủ,,
111 m²,"11,7 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Căn hộ chung cư tại D’. Le Roi Soleil,"D’. Le Roi Soleil , 59, Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội",23/04/2024,,,,Đầy đủ,Đông - Bắc,Tây - Nam
50 m²,"8,6 tỷ",4 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại đường Trần Phú,"Ngõ 108, Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",04/05/2024,,,4 tầng,,,
45 m²,"6,4 tỷ",,,"+ Sổ đỏ chính chủ, giao dịch ngay.",Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Hồ Tùng Mậu,"Đường Hồ Tùng Mậu, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",04/05/2024,,,5 tầng,,,
96 m²,"5,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Green Stars,"Dự án Green Stars, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",02/05/2024,,,,Cơ bản,,
70 m²,68 triệu/m²,2 phòng,2 phòng,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Handico Complex,"Handico Complex, 33, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",02/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
34 m²,"3,25 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Đại Cát,"Đường Đại Cát, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",05/05/2024,5 m,,5 tầng,Cơ bản,,
40 m²,"7,35 tỷ",,,Sổ đỏ,Hà Nội,Hà Đông,Nhà mặt phố tại đường Lê Hữu Trác,"Đường Lê Hữu Trác, Phường Phúc La, Hà Đông, Hà Nội",28/04/2024,4 m,,5 tầng,,,
60 m²,"37,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàn Kiếm,Nhà mặt phố tại phố Nguyễn Văn Tố,"Phố Nguyễn Văn Tố, Phường Hàng Mã, Hoàn Kiếm, Hà Nội",01/05/2024,"3,5 m",,3 tầng,,,
69 m²,"3,4 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Nhà ở xã hội Bộ Tư lệnh Tăng Thiết Giáp,"Dự án Nhà ở xã hội Bộ Tư lệnh Tăng Thiết Giáp, Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",02/05/2024,,,,Cơ bản,,
69 m²,"3,4 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Nhà ở xã hội Bộ Tư lệnh Tăng Thiết Giáp,"Dự án Nhà ở xã hội Bộ Tư lệnh Tăng Thiết Giáp, Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",02/05/2024,,,,Cơ bản,,
90 m²,5 tỷ,2 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Hà Nội Paragon,"Dự án Hà Nội Paragon, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",03/05/2024,,,,,Tây - Bắc,Đông - Nam
85 m²,"4,7 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Florence Mỹ Đình,"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",06/05/2024,,,,Cơ bản,Tây - Bắc,Đông - Nam
56 m²,"8,3 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại phố Bạch Mai,"Phố Bạch Mai, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",27/04/2024,,,5 tầng,Đầy đủ,,
"61,5 m²","3,4 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Căn hộ chung cư tại Sunshine Riverside,"Dự án Sunshine Riverside, Phường Phú Thượng, Tây Hồ, Hà Nội",06/05/2024,,,,Đầy đủ,,
68 m²,"2,1 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",07/05/2024,,,,Cơ bản,,
68 m²,"3,4 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony,"Dự án Moonlight 1 - An Lạc Green Symphony, Huyện Hoài Đức, Hà Nội",05/05/2024,,,,,Tây - Bắc,Đông - Nam
75 m²,"3,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Golden Field Mỹ Đình,"Dự án Golden Field Mỹ Đình, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội",02/05/2024,,,,Đầy đủ,,
72 m²,"9,56 tỷ",5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Đặng Thai Mai,"Đường Đặng Thai Mai, Phường Quảng An, Tây Hồ, Hà Nội",04/05/2024,"6,4 m",,4 tầng,Đầy đủ,,
118 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Kosmo Tây Hồ,"Dự án Kosmo Tây Hồ, Đường Xuân La, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",06/05/2024,,,,Cơ bản,,Đông - Nam
80 m²,"17,5 tỷ",4 phòng,3 phòng,,Hà Nội,Cầu Giấy,Nhà riêng tại phố Trần Quốc Hoàn,"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",04/05/2024,,,4 tầng,,,
89 m²,"35,5 triệu/m²",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư CT4 Yên Nghĩa,"Dự án Chung cư CT4 Yên Nghĩa, Phường Yên Nghĩa, Hà Đông, Hà Nội",07/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
142 m²,"7,19 tỷ",4 phòng,3 phòng,Hợp đồng mua bán,Hà Nội,Hoài Đức,Căn hộ chung cư tại Chung cư The Wisteria,"Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội",07/05/2024,,,,Không nội thất,Tây - Bắc,Đông - Nam
51 m²,"2,82 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sakura - Vinhomes Smart City,"Dự án The Sakura - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ.,Đông - Nam,Đông - Nam
36 m²,"6,85 tỷ",5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Vũ Ngọc Phan,"Phố Vũ Ngọc Phan, Phường Láng Hạ, Đống Đa, Hà Nội",07/05/2024,"3,3 m",,4 tầng,,,
55 m²,"2,39 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Hateco Hoàng Mai,"Dự án Hateco Hoàng Mai, Phường Yên Sở, Hoàng Mai, Hà Nội",03/05/2024,,,,Đầy đủ.,Nam,Bắc
80 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Kosmo Tây Hồ,"Dự án Kosmo Tây Hồ, Đường Xuân La, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",29/04/2024,,,,Full nội thất cao cấp.,Đông - Nam,
120 m²,"14,4 tỷ",,,Sổ đỏ,Hà Nội,Gia Lâm,Nhà riêng tại đường Trâu Quỳ,"Đường Trâu Quỳ, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",07/05/2024,6 m,,,,,
40 m²,"7,9 tỷ",,,Sổ đỏ,Hà Nội,Hà Đông,Nhà riêng tại đường Mỗ Lao,"Đường Mỗ Lao, Phường Mỗ Lao, Hà Đông, Hà Nội",06/05/2024,"3,8 m",,4 tầng,,,
110 m²,48 tỷ,1 phòng,1 phòng,,Hà Nội,Cầu Giấy,Nhà mặt phố tại phố Khúc Thừa Dụ,"Phố Khúc Thừa Dụ, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",04/05/2024,6 m,,1 tầng,,,
91 m²,"4,4 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại HH2 - Bắc Hà,"Dự án HH2 Bắc Hà, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",07/05/2024,,,,Đầy đủ,,Đông - Nam
95 m²,6 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Handico Complex,"Handico Complex, 33, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",29/04/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
50 m²,"2,98 tỷ",,,,Hà Nội,Đông Anh,Nhà riêng tại xã Hải Bối,"Xã Hải Bối, Đông Anh, Hà Nội",03/05/2024,,3 m,3 tầng,,,
36 m²,"4,75 tỷ",6 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại phố Quan Nhân,"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,,,5 tầng,Cơ bản,,
160 m²,27 tỷ,5 phòng,4 phòng,Sổ đỏ,Hà Nội,Tây Hồ,Nhà mặt phố tại đường Nghi Tàm,"Đường Nghi Tàm, Phường Yên Phụ, Tây Hồ, Hà Nội",07/05/2024,,20 m,4 tầng,,Tây - Nam,Tây - Nam
40 m²,59 tỷ,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàn Kiếm,Nhà mặt phố tại phố Hàng Bài,"Phố Hàng Bài, Phường Hàng Bài, Hoàn Kiếm, Hà Nội",07/05/2024,4 m,18 m,6 tầng,Đầy đủ,,
95 m²,6 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Handico Complex,"Handico Complex, 33, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",29/04/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
102 m²,20 tỷ,34 phòng,34 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Lê Đức Thọ,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",03/05/2024,"5,8 m",,9 tầng,Đầy đủ,,
120 m²,45 tỷ,,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà mặt phố tại đường Quang Trung,"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",06/05/2024,,,,,,
40 m²,35 tỷ,,,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàn Kiếm,Nhà mặt phố tại phố Hàng Cót,"Phố Hàng Cót, Phường Hàng Mã, Hoàn Kiếm, Hà Nội",07/05/2024,6 m,,3 tầng,,,
35 m²,"5,1 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàn Kiếm,Nhà riêng tại đường Bạch Đằng,"Đường Bạch Đằng, Phường Chương Dương, Hoàn Kiếm, Hà Nội",06/05/2024,,,5 tầng,Đầy đủ,,
"81,7 m²","3,1 tỷ",3 phòng,2 phòng,Hợp đồng mua bán.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Miami,"Dự án The Miami, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",26/04/2024,,,,Cơ bản,,
85 m²,31 tỷ,,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà mặt phố tại đường Nguyễn Khuyến,"Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",06/05/2024,,,5 tầng,,,
7 m²,"3,41 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony,"Dự án Moonlight 1 - An Lạc Green Symphony, Đường 70, Xã An Khánh, Hoài Đức, Hà Nội",07/05/2024,,,,Đầy đủ,Tây - Nam,Đông - Bắc
60 m²,"8,9 tỷ",,,,Hà Nội,Gia Lâm,Nhà mặt phố tại đường Kiên Thành,"Đường Kiên Thành, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",07/05/2024,,,,,,
40 m²,"7,6 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại đường Quang Trung,"Ngõ 2, Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",06/05/2024,4 m,,4 tầng,,,
73 m²,118 triệu/m²,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Căn hộ chung cư tại The Gloria by Silk Path,"The Gloria by Silk Path, số 8, Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",07/05/2024,,,,Đầy đủ,Bắc,Nam
